Name,Critic_Score,User_Score
Assassin's Creed: Revelations,7.9,
FIFA Soccer 06,8.4,
Counter-Strike,8.9,
Monster Hunter 4 Ultimate,8.8,8.6
Mortal Kombat 11,8.2,3.6
Street Fighter IV,9.3,9
7 Days to Die,,
FIFA Soccer 12,9.2,
Call of Duty: Ghosts,7.5,3.8
Teenage Mutant Ninja Turtles,5.9,
Just Cause 2,8.2,
Excitebike,8.4,
Frogger,2,
Star Wars Battlefront (2015),6.9,
FIFA 14,9.1,
Madden NFL 2003,9.4,
Assassin's Creed: Unity,,
Destiny 2,8.5,4.9
Super Mario World 2: Yoshi's Island,9,
Batman: Arkham Knight,8.1,7.8
FIFA 07 Soccer,8.4,
The Sims 4,7,4
Monster Hunter 4,,
Street Fighter II Turbo,9,
Fallout: New Vegas,8.2,
The Legend of Zelda: A Link Between Worlds,9.3,9
Assassin's Creed Origins,8.1,7.2
Far Cry 4,8.4,7.7
Carnival Games,4.2,
World Soccer Winning Eleven 9,8.9,
Forza Motorsport 2,9.1,
Namco Museum Vol.3,,
Tekken Tag Tournament,8.7,
Golf,,
Super Mario Maker,8.8,8.7
Arma III,,
Diablo II,8.8,
Disney's Aladdin,,
EyeToy Play,7.5,
Just Dance,5.4,
Monster Hunter: World,9.3,9
Star Fox 64,9,
The Last of Us: Part II,9.4,5.6
World of Warcraft: Wrath of the Lich King,9.3,9.3
Fallout 3,8.8,
The Legend of Zelda: Oracle of Ages / Seasons,,
The Elder Scrolls V: Skyrim,9.2,8.2
Namco Museum: 50th Anniversary,5,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
