Game_name,Platform,Publisher,Developer,Total_Shipped,Year
The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,5,2002
Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,5,1996
God of War,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,5,2005
The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,5,1992
Left 4 Dead,PC,Valve Corporation,Valve Software,5,2008
Forza Motorsport 4,X360,Microsoft Studios,Turn 10 Studio,5,2011
Guitar Hero III: Legends of Rock,Wii,RedOctane,Vicarious Visions,5,2007
Nintendogs + cats,3DS,Nintendo,Nintendo EAD,5,2011
"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Game Freak,5,2018
BioShock Infinite,PC,2K Games,Irrational Games,5,2013
Mario & Luigi: Bowser's Inside Story,DS,Nintendo,AlphaDream Corporation,5,2009
FIFA 15,PS3,EA Sports,EA Canada,5,2014
Mario & Sonic at the Olympic Winter Games,Wii,Sega,Sega,5,2009
Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,5,2016
Madden NFL 2005,PS2,EA Sports,EA Tiburon,5,2004
Guitar Hero III: Legends of Rock,X360,RedOctane,Neversoft,5,2007
Star Wars Battlefront II (2017),PS4,Electronic Arts,EA DICE,5,2017
Dead Island,PC,Deep Silver,Techland,5,2011
Arma 2: Operation Arrowhead,PC,Meridian4,Bohemia Interactive,5,2010
ARK: Survival Evolved,PC,Studio Wildcard,Studio Wildcard,5,2015
LittleBigPlanet,PS3,Sony Computer Entertainment,Media Molecule,5,2008
Riven: The Sequel to Myst,PC,Red Orb,Cyan Worlds,5,1997
StarCraft II: Wings of Liberty,PC,Blizzard Entertainment,Blizzard Entertainment,5,2010
Warcraft III: Reign of Chaos,PC,Blizzard Entertainment,Blizzard Entertainment,5,2002
Pitfall!,2600,Activision,Activision,5,1982
Professor Layton and the Curious Village,DS,Nintendo,Level 5,4,2008
Madden NFL 07,PS2,EA Sports,EA Tiburon,4,2006
Spider-Man: The Movie,PS2,Activision,Treyarch,4,2002
The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Bethesda Softworks,4,2009
The Legend of Zelda: The Wind Waker,GC,Nintendo,Nintendo EAD,4,2003
Tony Hawk's Pro Skater 3,PS2,Activision,Neversoft Entertainment,4,2001
Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami,Konami Computer Entertainment Tokyo,4,2007
The Legend of Zelda: Link's Awakening,NS,Nintendo,Nintendo,4,2019
Zelda II: The Adventure of Link,NES,Nintendo,Nintendo EAD,4,1988
Michael Jackson: The Experience,Wii,Ubisoft,Ubisoft Montpellier,4,2010
Tom Clancy's The Division,PS4,Ubisoft,Massive Entertainment,4,2016
Need for Speed: Most Wanted,PS2,Electronic Arts,EA Canada,4,2005
Resistance: Fall of Man,PS3,Sony Computer Entertainment,Insomniac Games,4,2006
Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft,Ubisoft Montreal,4,2015
Call of Duty: Advanced Warfare,X360,Activision,High Moon Studios,4,2014
Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,4,2014
Animal Crossing: City Folk,Wii,Nintendo,Nintendo EAD,4,2008
Starbound,PC,"Infocom, Inc.",Unknown,4,2014
Asteroids,2600,Atari,Atari,4,1981
Dragon Quest VII,PS,Enix,Heart Beat,4,2001
Monster Hunter Generations,3DS,Capcom,Capcom,4,2016
The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,4,2015
Batman: Arkham Asylum,PS3,Eidos Interactive,Rocksteady Studios,4,2009
Call of Duty: Advanced Warfare,PS3,Activision,High Moon Studios,4,2014
God of War II,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4,2007
Namco Museum,GBA,Namco,Mass Media,4,2001
Daxter,PSP,Sony Computer Entertainment,Ready at Dawn,4,2006
Super Paper Mario,Wii,Nintendo,Intelligent Systems,4,2007
Assassin's Creed: Revelations,PS3,Ubisoft,Ubisoft Montreal,4,2011
Metal Gear Solid 3: Snake Eater,PS2,Konami,KCEJ / Kojima Productions,4,2004
Assassin's Creed: Revelations,X360,Ubisoft,Ubisoft Montreal,4,2011
FIFA Soccer 06,PS2,EA Sports,EA Canada,4,2005
Counter-Strike,PC,Sierra Studios,Unknown,4,2000
Monster Hunter 4 Ultimate,3DS,Capcom,Capcom,4,2015
Mortal Kombat 11,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,4,2019
Street Fighter IV,PS3,Capcom,Capcom / Dimps Corporation,4,2009
7 Days to Die,PC,The Fun Pimps,The Fun Pimps,4,2013
FIFA Soccer 12,X360,EA Sports,EA Canada,4,2011
Call of Duty: Ghosts,PS4,Activision,Infinity Ward,4,2013
Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,4,1989
Just Cause 2,PC,Eidos Interactive,Avalanche Studios,4,2010
Excitebike,NES,Nintendo,Nintendo R&D1,4,1985
Frogger,PS,Hasbro Interactive,Millenium Interactive,4,1997
Star Wars Battlefront (2015),XOne,Electronic Arts,EA DICE,4,2015
FIFA 14,X360,EA Sports,EA Canada,4,2013
Madden NFL 2003,PS2,EA Sports,EA Tiburon,4,2002
Assassin's Creed: Unity,PS4,Ubisoft,Ubisoft Montreal,4,2014
Destiny 2,PS4,Activision,Bungie,4,2017
Super Mario World 2: Yoshi's Island,SNES,Nintendo,Nintendo EAD,4,1995
Batman: Arkham Knight,PS4,Warner Bros. Interactive,Rocksteady Studios,4,2015
FIFA 07 Soccer,PS2,EA Sports,Team Fusion,4,2006
The Sims 4,PC,Electronic Arts,Maxis,4,2014
Monster Hunter 4,3DS,Capcom,Capcom,4,2013
Street Fighter II Turbo,SNES,Capcom,Capcom,4,1993
Fallout: New Vegas,X360,Bethesda Softworks,Obsidian Entertainment,4,2010
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Nintendo EAD,4,2013
Assassin's Creed Origins,PS4,Ubisoft,Ubisoft Montreal,4,2017
Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,4,2014
Carnival Games,Wii,Global Star Software,Cat Daddy Games,4,2007
World Soccer Winning Eleven 9,PS2,Konami,Konami Computer Entertainment Tokyo,4,2006
Forza Motorsport 2,X360,Microsoft Game Studios,Turn 10 Studios,4,2007
Namco Museum Vol.3,PS,Namco,Namco,4,1997
Tekken Tag Tournament,PS2,Namco,Namco,4,2000
Golf,NES,Nintendo,Nintendo,4,1985
Super Mario Maker,WiiU,Nintendo,Nintendo EAD,4,2015
Arma III,PC,Bohemia Interactive,Bohemia Interactive,4,2013
Diablo II,PC,Blizzard Entertainment,Blizzard North,4,2000
